日期,标签,标题,摘要,来源,链接
2026-05-09,"政治, 民生",[视频]【新思想引领新征程】加快推进种业振兴 提升种源安全保障能力,我国深入实施种业振兴行动，提升种源安全保障，实现“中国粮”主要用“中国种”。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEpgKSDXMejGHiHUzxYu40260509.shtml
2026-05-09,"政治, 经济",[视频]李强主持召开国务院常务会议,李强主持国务院常务会议，部署经济工作、基础研究及风险化解，强调稳中向好。,新闻联播,https://tv.cctv.com/2026/05/09/VIDE9DKu589hmyRC3CRWUtry260509.shtml
2026-05-09,"政治, 经济",[视频]【“十五五”开好局起好步】奋力开创中国式现代化福建实践新局面 谱写社会主义现代化新疆新篇章,福建、新疆发布“十五五”规划，聚焦高质量发展、两岸融合和现代化建设。,新闻联播,https://tv.cctv.com/2026/05/09/VIDESobBUnFfUrDxhLadzosq260509.shtml
2026-05-09,"政治, 军事",[视频]俄罗斯纪念卫国战争胜利81周年,俄罗斯在莫斯科红场举行阅兵式，纪念卫国战争胜利81周年，普京出席并发表讲话。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEQuafGaWYN36bSbJsY2Al260509.shtml
2026-05-09,"政治, 军事",Putin denounces Nato at scaled back Victory Day parade,普京在缩水的胜利日阅兵式上谴责北约，并为其在乌克兰的军事行动辩护。,BBC World,https://www.bbc.com/news/articles/c626xjq0q0vo?at_medium=RSS&at_campaign=rss
2026-05-09,"政治, 国际","'I will serve not rule over Hungary,' says new PM",匈牙利新总理表示将服务而非统治国家，其政党终结了欧尔班16年执政。,BBC World,https://www.bbc.com/news/articles/ce3pqvvzgnko?at_medium=RSS&at_campaign=rss
2026-05-09,"政治, 国际",Australia's right-wing One Nation party scores historic parliamentary win,澳大利亚右翼单一民族党在补选中首次赢得众议院席位。,BBC World,https://www.bbc.com/news/articles/cwy2e4z4npro?at_medium=RSS&at_campaign=rss
2026-05-09,政治,PM turns to old Labour hands after election losses but some MPs left baffled,英国首相斯塔默选举失利后重用老工党成员，部分议员困惑。,BBC Top,https://www.bbc.com/news/articles/c2k2vyw88n8o?at_medium=RSS&at_campaign=rss
2026-05-09,政治,Labour MPs have put Starmer on notice after election battering. Can he turn it around?,工党议员对斯塔默施压要求改革，首相面临扭转局面的压力。,BBC Top,https://www.bbc.com/news/articles/cx21e79qqlgo?at_medium=RSS&at_campaign=rss
2026-05-09,政治,"Lib Dems offer alternative to extremes of Reform and Greens, Davey says",自由民主党领袖称该党在工党和保守党支持率下滑中获益。,BBC Top,https://www.bbc.com/news/articles/c2029ljyq25o?at_medium=RSS&at_campaign=rss
2026-05-09,政治,"We welcome scrutiny, Reform UK says after major election gains",改革党在大选获重大进展后表示欢迎 scrutiny，不视选民为理所当然。,BBC Top,https://www.bbc.com/news/articles/cz62d2482x1o?at_medium=RSS&at_campaign=rss
2026-05-09,"经济, 国际",[视频]前4个月我国外贸继续保持两位数增长,前4个月我国外贸总值16.23万亿元，同比增长14.9%，绿色产品出口强劲。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEy4Jvyi5Djk8tfMczmxW4260509.shtml
2026-05-09,"经济, 国际",[视频]一季度我国服务出口同比增长11.2% “含新量”不断提升,一季度服务出口同比增长11.2%，知识密集型及旅行服务增长最快。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEznogSO16p9aaA6K4DCFT260509.shtml
2026-05-09,"经济, 科技",[视频]一季度中国造船领跑全球 新接订单量增长近三倍,一季度中国造船三大指标领跑全球，新接订单量同比增长195.2%。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEdgZNqdYcPDr7Hak0HwX2260509.shtml
2026-05-09,"经济, 民生, 国际",[视频]国内联播快讯,APEC贸易部长会议将在苏州举办；中央环保督察全部进驻；4月仓储指数扩张；中央下达458亿元支持学前教育。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEWKkumab8Yo10zhgtF6Gn260509.shtml
2026-05-09,科技,[视频]天舟十号货运飞船发射任务完成全区合练,天舟十号货运飞船发射任务完成全区合练，各系统准备就绪，空间站已调相变轨。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEyYze2vFdr0kJnqTtq0ur260509.shtml
2026-05-09,"科技, 社会",International cyber attack disrupts swathe of universities and schools,国际网络攻击入侵学术软件Canvas，全球数千所院校受影响。,BBC World,https://www.bbc.com/news/articles/ce3pq0136eqo?at_medium=RSS&at_campaign=rss
2026-05-09,"军事, 国际",Rosenberg: Scaled-back Victory Parade in Moscow's Red Square,莫斯科红场胜利日阅兵规模缩减，场面较往年冷清。,BBC World,https://www.bbc.com/news/videos/ckgp541p5ndo?at_medium=RSS&at_campaign=rss
2026-05-09,"军事, 国际",HMS Dragon heads to Middle East for potential Strait of Hormuz mission,英国“龙”号驱逐舰将赴中东，待地区战事结束后加入护航任务。,BBC Top,https://www.bbc.com/news/articles/c4g42j15p7qo?at_medium=RSS&at_campaign=rss
2026-05-09,"军事, 国际, 政治",Moscow marks Victory Day with a Red Square parade under tight security,莫斯科红场胜利日阅兵加强安保，美斡旋三日停火缓解乌滋扰担忧。,NPR World,https://www.npr.org/2026/05/09/nx-s1-5816876/russia-victory-day
2026-05-09,"民生, 国际",Britons on virus-hit cruise ship to isolate at hospital after being flown to UK,英国“MV Hondius”号邮轮因疫情停靠加那利群岛，乘客将隔离于医院。,BBC Top,https://www.bbc.com/news/articles/c2029r42w8wo?at_medium=RSS&at_campaign=rss
2026-05-09,民生,Warm weekend forecast before Arctic air brings cold spell next week,本周末短暂回暖，下周北极寒流来袭，气温将大幅下降。,BBC Top,https://www.bbc.com/weather/articles/c152v24kg5wo?at_medium=RSS&at_campaign=rss
2026-05-09,"国际, 军事",[视频]美称可能恢复“自由计划”行动 伊称将回击任何侵略,美称可能恢复霍尔木兹海峡“自由计划”行动，伊朗回击美方武力并警告将全力反击侵略。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEt7bddqLRhHRlYowxTLBi260509.shtml
2026-05-09,"国际, 经济",[视频]国际联播快讯,全球粮价连续三个月上涨；德国对美出口大幅下滑；英国工党在地方选举中失利。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEzLwlNV6k5tSW0DO2RP68260509.shtml
2026-05-09,"国际, 军事",Iran accuses US of 'reckless military adventure',伊朗指责美国在出现外交解决途径时仍发动攻击，称其“鲁莽军事冒险”。,BBC World,https://www.bbc.com/news/articles/c99lpn9ze8ro?at_medium=RSS&at_campaign=rss
2026-05-09,"国际, 政治",An expert on Iranian politics reviews the status of negotiations to end the war on Iran,伊朗政治专家分析特朗普政府就结束对伊战争谈判的进展。,NPR World,https://www.npr.org/2026/05/09/nx-s1-5814972/an-expert-on-iranian-politics-review-the-status-of-negotiations-to-end-the-war-on-iran
2026-05-09,"国际, 政治",Trump says Russia and Ukraine have agreed to his request for a 3-day ceasefire,特朗普称俄乌同意三天停火及换俘，双方官员确认协议。,NPR World,https://www.npr.org/2026/05/09/nx-s1-5816478/trump-russia-ukraine-ceasefire
2026-05-09,"社会, 民生",[视频]国务院成立湖南长沙浏阳市华盛烟花制造燃放有限公司“5·4”特别重大爆炸事故调查组,湖南浏阳烟花厂发生特别重大爆炸事故，国务院成立调查组，已致37人死亡。,新闻联播,https://tv.cctv.com/2026/05/09/VIDEWwim9yhwmXZPcPAaX3GJ260509.shtml
2026-05-09,"社会, 国际",Anger and resignation in Tenerife as hantavirus ship approaches,西班牙特内里费岛民众对即将抵达的疑似携带汉坦病毒的船只感到愤怒与无奈。,BBC World,https://www.bbc.com/news/articles/c5y0gkg038yo?at_medium=RSS&at_campaign=rss
2026-05-09,社会,Man critically injured after car hits pedestrians in Nottinghamshire town,英国诺丁汉郡一男子驾车撞伤5名行人，疑似事发前发生争执。,BBC Top,https://www.bbc.com/news/articles/cgrpgp91rwwo?at_medium=RSS&at_campaign=rss
2026-05-09,"社会, 文体",Revisiting Guy Goma's iconic accidental BBC interview 20 years ago this week,回顾20年前盖伊·戈马误入BBC直播采访的经典意外瞬间。,NPR World,https://www.npr.org/2026/05/09/nx-s1-5814110/revisiting-guy-gomas-iconic-accidental-bbc-interview-20-years-ago-this-week
2026-05-10,"政治, 经济, 国际",《新闻联播》 20260510 19:00,我国推进新型基建、经济向好，多领域发展，国际关注美伊及俄二战立场。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEj6sgBGGhWkZPKBi6knhW260510.shtml
2026-05-10,"政治, 民生",[视频]【树立和践行正确政绩观】以学促干 将学习教育成效落到实处,贵州贵阳与山西长治以学促干，解决民生问题，提升政务效率。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEzKwxc6mgu6NPrMJEtzBO260510.shtml
2026-05-10,政治,Australia's right-wing One Nation party scores historic parliamentary win,澳大利亚右翼单一民族党在补选中首次赢得众议院席位。,BBC World,https://www.bbc.com/news/articles/cwy2e4z4npro?at_medium=RSS&at_campaign=rss
2026-05-10,政治,Labour MP challenges ministers to move against Starmer,工党议员威胁挑战首相斯塔默，部长力挺其继续领导。,BBC Top,https://www.bbc.com/news/articles/c362573l4gdo?at_medium=RSS&at_campaign=rss
2026-05-10,政治,"Tories are still biggest party on the right, claims Cleverly",保守党自称仍是右翼最大党，称改革党为“个人崇拜”。,BBC Top,https://www.bbc.com/news/articles/c7v9778r9q9o?at_medium=RSS&at_campaign=rss
2026-05-10,政治,Can Starmer survive as PM? Seven scenarios for what might happen next,斯塔默面临党内逼宫，誓言坚守首相职位，分析多种可能走向。,BBC Top,https://www.bbc.com/news/articles/cr7pz99l370o?at_medium=RSS&at_campaign=rss
2026-05-10,政治,Plaid Cymru's Rhun ap Iorwerth willing to 'take the fight' to Keir Starmer,威尔士党领袖称愿“向斯塔默开火”，必要时批评英国政府。,BBC Top,https://www.bbc.com/news/articles/c62rnglzv2eo?at_medium=RSS&at_campaign=rss
2026-05-10,政治,Sarwar says he will 'absolutely' stay on as Labour leader,苏格兰工党领袖虽选举失利，仍表态“绝对”留任。,BBC Top,https://www.bbc.com/news/articles/clypgg10p83o?at_medium=RSS&at_campaign=rss
2026-05-10,政治,Keir Starmer's party lost big in U.K. local elections. Here's what comes next.,英国工党在地方选举中惨败，斯塔默拒绝辞职。,NPR World,https://www.npr.org/2026/05/10/nx-s1-5817491/uk-elections-keir-starmer-resign-reform-green
2026-05-10,经济,[视频]多项先行指标显示我国经济稳步向好态势,多项先行指标显示4月我国经济稳步向好，投资结构优化，消费增长。,新闻联播,https://tv.cctv.com/2026/05/10/VIDE75KHi92fFX03EkmYZaeB260510.shtml
2026-05-10,"经济, 民生",[视频]2025年度秋粮收购顺利收官,2025年度秋粮收购超3.38亿吨，智能技术保障粮食安全。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEszdiR9oMgKaeJmuPiIx0260510.shtml
2026-05-10,"科技, 经济",[视频]【新思想引领新征程】我国加快推进新型基础设施建设,我国加快推进新型基础设施建设，算力网络四通八达，为高质量发展筑牢底座。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEAWT1N6XdQR3dgt0mpr0h260510.shtml
2026-05-10,科技,[视频]“全球深渊探索计划”完成太平洋穿越科考航次,中国牵头“全球深渊探索计划”完成太平洋科考，发现8000米深海底生命绿洲及新物种。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEaxSqbSyA7Z59fWgjHCO0260510.shtml
2026-05-10,"民生, 社会",[视频]全面扩围 我国加快建设一刻钟便民生活圈,我国一刻钟便民生活圈全面扩围，服务1.68亿居民，养老托育设施优化。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEGmNOwfeYlffOePSncHQA260510.shtml
2026-05-10,"民生, 社会",[视频]各地全面推进国家免疫规划HPV疫苗接种服务,国家免疫规划HPV疫苗免费接种有序推进，已接种275万剂次。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEAojRaejfM6KvzEWm2nwl260510.shtml
2026-05-10,"民生, 科技",[视频]国内联播快讯,我国开展人力资源市场整顿、职教活动周启动，并启动人工智能伦理审查计划与人形机器人运动会。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEho6ROz6sK27k6dR4VCJS260510.shtml
2026-05-10,"民生, 经济",Lidl says customers can turn points into pastries. But shoppers want the old app back,Lidl推出积分换糕点活动，但顾客怀念旧版应用程序。,BBC Top,https://www.bbc.com/news/articles/ceqprgz18wro?at_medium=RSS&at_campaign=rss
2026-05-10,"国际, 军事",[视频]美军称继续对伊朗海上封锁 伊朗称侵犯伊朗船只将引发猛烈打击,美军对伊朗海上封锁，伊朗警告将猛烈打击侵犯船只；英法派舰艇赴中东护航。,新闻联播,https://tv.cctv.com/2026/05/10/VIDELfRg3IYy50MuoyO8pgJe260510.shtml
2026-05-10,"国际, 政治",[视频]俄总统表示坚决制止篡改二战历史图谋,普京称坚决制止篡改二战历史、美化纳粹的图谋，强调纽伦堡审判定罪不变。,新闻联播,https://tv.cctv.com/2026/05/10/VIDE4PxBScJj1YuyT2aFQpJz260510.shtml
2026-05-10,"国际, 军事",[视频]国际联播快讯,俄乌互指破坏停火；以军在黎南部行动；美媒称以色列在伊拉克设秘密哨所。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEgO7addCRht9TessiaJ0m260510.shtml
2026-05-10,"国际, 民生",Countries airlift nationals evacuated from from virus-hit cruise ship,多国从暴发疫情的MV Hondius游轮上撤离本国公民，已有3人死亡。,BBC World,https://www.bbc.com/news/articles/cn7pzmg8zeno?at_medium=RSS&at_campaign=rss
2026-05-10,"国际, 军事",Army parachutes onto remote island to help Briton with suspected hantavirus,军方跳伞至偏远岛屿，帮助一名疑似感染汉坦病毒的英国人。,BBC World,https://www.bbc.com/news/articles/cvgzv77ldpdo?at_medium=RSS&at_campaign=rss
2026-05-10,"国际, 政治",Iran sends response to US proposals to end war,伊朗已回应美国提出的结束战争建议，但未透露具体细节。,BBC World,https://www.bbc.com/news/articles/clypgz9e5pmo?at_medium=RSS&at_campaign=rss
2026-05-10,"国际, 政治",Putin says he thinks Ukraine conflict 'coming to an end',普京称乌克兰冲突“接近尾声”，谴责西方支持泽连斯基。,BBC World,https://www.bbc.com/news/articles/cn8p4j2jzwwo?at_medium=RSS&at_campaign=rss
2026-05-10,"国际, 政治",Israel deports two activists detained on board Gaza flotilla,以色列驱逐两名乘坐加沙援助船队被扣押的活动人士。,BBC World,https://www.bbc.com/news/articles/cvgzdpxv2d7o?at_medium=RSS&at_campaign=rss
2026-05-10,"国际, 文体","Cape Verde: Tiny nation, massive World Cup dream",西非岛国佛得角的世界杯晋级之路，正改变球场内外的梦想。,NPR World,https://www.npr.org/2026/05/10/nx-s1-5796264/cape-verde-tiny-nation-massive-world-cup-dream
2026-05-10,"国际, 军事",Iran ceasefire tested as cargo ship catches fire after being hit off Qatar's coast,一艘货船在卡塔尔海岸附近被不明弹丸击中起火，伊朗停火协议受考验。,NPR World,https://www.npr.org/2026/05/10/nx-s1-5817437/iran-cargo-ship-hit-off-qatar
2026-05-10,"国际, 社会, 文体",Protests and boycotts rock prestigious Venice Biennale,第61届威尼斯双年展在地缘政治冲突中开幕，遭抗议和抵制。,NPR World,https://www.npr.org/2026/05/09/nx-s1-5817005/protests-and-boycotts-rock-prestigious-venice-biennale
2026-05-10,"社会, 民生",[视频]依托美好生态 夏日文旅持续升温,各地依托生态优势打造文旅新场景，夏日文旅持续升温。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEcFiF6pYyq7baHC86KNDD260510.shtml
2026-05-10,"社会, 文体",[视频]【文化中国行】珠算乾坤 指尖上的华夏智慧,珠算承载千年智慧，源于商周，盛于元明，被列入非遗美育大会展示。,新闻联播,https://tv.cctv.com/2026/05/10/VIDEerck3L4ENRIxVynNJLPQ260510.shtml
2026-05-10,"社会, 文体",Bread dresses and gowns inspired by cathedrals at Nigeria fashion spectacle,尼日利亚时尚盛宴展示面包礼服和教堂灵感礼服。,BBC World,https://www.bbc.com/news/articles/c4g0d3d5zn4o?at_medium=RSS&at_campaign=rss
2026-05-10,"社会, 民生",Suspected boat explosion injures 11 in Miami,迈阿密一码头疑似船只爆炸致11人受伤，官方正调查。,BBC World,https://www.bbc.com/news/articles/c7076k4e31do?at_medium=RSS&at_campaign=rss
2026-05-10,"社会, 民生",Buddhist monk arrested over alleged rape of teen in Sri Lanka,斯里兰卡一名资深佛教僧侣因涉嫌强奸少女被捕。,BBC World,https://www.bbc.com/news/articles/cy42kp0x92jo?at_medium=RSS&at_campaign=rss
2026-05-10,文体,"Our relationship with food is messed up - let's sort it out, says Stanley Tucci",演员斯坦利·图齐新季节目探索意大利饮食文化深层内涵。,BBC Top,https://www.bbc.com/news/articles/c98r1k1j844o?at_medium=RSS&at_campaign=rss
2026-05-10,"体育, 民生",How could extreme weather affect World Cup 2026?,气象专家分析极端天气可能如何影响2026年世界杯。,BBC World,https://www.bbc.com/weather/articles/ce9p8m9xz13o?at_medium=RSS&at_campaign=rss
2026-05-12,"政治, 经济, 科技",《新闻联播》 20260511 19:00,美总统将访华；长三角一体化新突破；天舟十号成功发射；CPI温和回升。,新闻联播,https://tv.cctv.com/2026/05/11/VIDET5JCLv3K8ofp0eyRlgW1260511.shtml
2026-05-12,"政治, 国际",[视频]应习近平邀请 美国总统将对中国进行国事访问,应习近平邀请，美国总统特朗普将于5月13日至15日访华。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEB3BXuyVHiFMDnyxD1ylC260511.shtml
2026-05-12,"政治, 社会",[视频]王沪宁会见出席第三届海峡两岸中华文化峰会两岸文化界人士代表,王沪宁会见两岸文化界人士，强调中华文化是两岸同胞的根与魂，反对台独。,新闻联播,https://tv.cctv.com/2026/05/11/VIDERfDVcT5grjqog8eJbUSw260511.shtml
2026-05-12,"政治, 科技, 文体",[视频]国内联播快讯,发布多项政策：促进AI与能源融合、严惩非法占地、核电项目开工、世乒赛夺冠。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEU5sE6YPUtEIK3qie7Jnd260511.shtml
2026-05-12,政治,Analysis: Has Starmer done enough to save his premiership?,分析：英国首相斯塔默能否稳住民调？演说是否足以避免领导危机？,BBC Top,https://www.bbc.com/news/articles/c3r2pr95yq0o?at_medium=RSS&at_campaign=rss
2026-05-12,"政治, 国际",Watch: Macron interrupts speaker to tell audience to be quiet,法国总统马克龙在肯尼亚演讲时打断发言，要求台下观众安静。,BBC Top,https://www.bbc.com/news/videos/czx2wd20evyo?at_medium=RSS&at_campaign=rss
2026-05-12,"经济, 科技",[视频]【新思想引领新征程】长三角一体化发展不断取得新突破,长三角一体化取得新突破，低空飞行、工业机器人、算力网提速，引领示范作用增强。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEqWWGD5hHdaNUjYU7G0EK260511.shtml
2026-05-12,经济,[视频]4月居民消费价格指数温和回升 工业生产者出厂价格指数涨幅扩大,4月CPI同比上涨1.2%，PPI同比上涨2.8%，工业生产者价格涨幅扩大。,新闻联播,https://tv.cctv.com/2026/05/11/VIDELkwxJlYum9JiQfyfalBP260511.shtml
2026-05-12,经济,[视频]一季度我国中小企业经济运行势头良好,一季度中小企业利润增16%，专精特新企业表现亮眼，出口指数连续24个月扩张。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEZTMwhVqytwC9FxfgVfKj260511.shtml
2026-05-12,"经济, 科技",[视频]4月新能源汽车产销量及出口量均实现稳定增长,4月我国新能源汽车产销量及出口量均稳定增长，销量占比达53.2%。,新闻联播,https://tv.cctv.com/2026/05/11/VIDErbQUTHVzAZHiuAzreo6l260511.shtml
2026-05-12,"经济, 科技",[视频]海洋经济良好开局 向海图强释放新动能,一季度海洋经济开局良好，新兴产业加快成长，立体赋能成新亮点。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEPU18sjnPEcJGZ1mDB8iw260511.shtml
2026-05-12,"经济, 国际, 政治",Elon Musk and Tim Cook among CEOs expected to accompany Trump on China trip,马斯克和库克等17位美企CEO预计随特朗普访华，将会晤中方领导人。,BBC World,https://www.bbc.com/news/articles/c5yx757w048o?at_medium=RSS&at_campaign=rss
2026-05-12,"科技, 国际",[视频]韩正出席2026世界数字教育大会开幕式并致辞,韩正出席世界数字教育大会，强调数字教育需以人为本、普惠公平、智能向善。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEQ9yCniN8QBTPSzUyF4Ui260511.shtml
2026-05-12,科技,[视频]天舟十号货运飞船发射任务取得圆满成功,天舟十号货运飞船发射成功，与空间站完成交会对接，上行物资约6.2吨。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEjsICkvsZaUF7LPVg0ORO260511.shtml
2026-05-12,"科技, 民生",[视频]【一线调研】田野里的智慧农机,全国夏收在即，超1700万台智慧农机将投入使用，提升作业效率。,新闻联播,https://tv.cctv.com/2026/05/11/VIDExnAEs9Djbgzk1gOnXxLE260511.shtml
2026-05-12,"军事, 国际",Remains of a U.S. soldier who went missing in Morocco have been recovered,在摩洛哥军演中失踪的美军士兵遗体在大西洋被发现，另一人仍在搜寻。,NPR World,https://www.npr.org/2026/05/11/g-s1-121363/remains-of-missing-us-soldier
2026-05-12,"民生, 科技",[视频]【在希望的田野上】小麦进入灌浆期 各地科学防控干热风,小麦进入灌浆期，各地多措并举科学防控干热风，护航夏粮丰收。,新闻联播,https://tv.cctv.com/2026/05/11/VIDECztTumT31cIZNQ98m8vz260511.shtml
2026-05-12,"民生, 国际",US passengers being monitored for hantavirus as officials say public risk 'very low',美国亚特兰大两人正接受汉坦病毒监测，另有16人在国家隔离中心，官方称公众风险极低。,BBC World,https://www.bbc.com/news/articles/cwy2e9e1g0wo?at_medium=RSS&at_campaign=rss
2026-05-12,"民生, 国际",British passengers from hantavirus-hit cruise ship isolating in hospital,来自汉坦病毒疫区邮轮的英国乘客已隔离入院，无人出现症状，将观察72小时。,BBC Top,https://www.bbc.com/news/articles/c4g83vddnz0o?at_medium=RSS&at_campaign=rss
2026-05-12,"国际, 政治",[视频]伊媒称伊朗最新回应要求美国尽快解除海上封锁 美称伊方回应不可接受,伊朗要求美国尽快解除海上封锁，美方称其回应不可接受。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEbns7yTv4NSSoJYLL47MB260511.shtml
2026-05-12,"国际, 军事, 经济",[视频]国际联播快讯,俄日关系陷入冰河期；以军袭击黎南部；全球石油供应减少约10亿桶。,新闻联播,https://tv.cctv.com/2026/05/11/VIDEoyJC9zZvotfiXG9ygdAL260511.shtml
2026-05-12,"国际, 社会",US and French nationals test positive for hantavirus after leaving ship,一名美国人和一名法国人离船后检测出汉坦病毒阳性。,BBC World,https://www.bbc.com/news/articles/cjep78l5835o?at_medium=RSS&at_campaign=rss
2026-05-12,"国际, 政治",Trump says Iran ceasefire is on 'massive life support',特朗普批评伊朗停火提议，称持续一个月的停火协议“难以置信地脆弱”。,BBC World,https://www.bbc.com/news/articles/cvgznxn18zgo?at_medium=RSS&at_campaign=rss
2026-05-12,"国际, 政治","Trump rejects Iran's ceasefire proposal response. And, Congress to tackle ICE funding",特朗普拒绝伊朗的停火提议，称其完全不可接受；国会共和党推动移民执法资金。,NPR World,https://www.npr.org/2026/05/11/g-s1-121375/up-first-newsletter-trump-iran-congress-ice-cbp-hantavirus
2026-05-12,"国际, 政治",Trump heads to China amid ongoing war with Iran,尽管与伊朗交战，特朗普仍将按计划访问中国。,NPR World,https://www.npr.org/2026/05/11/nx-s1-5816150/trump-heads-to-china-amid-ongoing-war-with-iran
2026-05-12,"国际, 社会","Nobel laureate Narges Mohammadi transferred to a Tehran hospital, her foundation says",诺贝尔和平奖得主纳尔吉斯·穆罕默迪在狱中晕倒后，被转至德黑兰医院。,NPR World,https://www.npr.org/2026/05/11/g-s1-121365/nobel-laureate-mohammadi-transferred-to-a-tehran-hospital
2026-05-12,"国际, 科技",AI on the agenda as Trump heads to China,人工智能将成为特朗普与中国领导人会晤的议题。,NPR World,https://www.npr.org/2026/05/11/nx-s1-5812681/ai-on-the-agenda-as-trump-heads-to-china
2026-05-12,"社会, 国际",Portrait looted by Nazis found in home of Dutch SS leader's descendants,一幅被纳粹掠夺的肖像画在荷兰党卫军领袖后代家中被发现。,BBC World,https://www.bbc.com/news/articles/cgmpj0p9k08o?at_medium=RSS&at_campaign=rss
2026-05-12,"社会, 民生",Pupils hopeless and crying after 'poorly worded' Higher Maths exam,超1.1万人请愿要求重审高级数学考试，学生称考题表述不清、无法应对。,BBC Top,https://www.bbc.com/news/articles/cx21j20l9wlo?at_medium=RSS&at_campaign=rss
2026-05-13,"政治, 经济, 民生",《新闻联播》 20260512 21:00,习近平会见塔吉克斯坦总统等多国政要；未来产业布局提速；农村供水保障提升。,新闻联播,https://tv.cctv.com/2026/05/12/VIDEsAbPAUFSpzUyG3RYBi0C260512.shtml
2026-05-13,政治,[视频]习近平举行仪式欢迎塔吉克斯坦总统访华,习近平为塔吉克斯坦总统拉赫蒙访华举行欢迎仪式。,新闻联播,https://tv.cctv.com/2026/05/12/VIDETvRL2OSxRI5llz8kQ9Mg260512.shtml
2026-05-13,政治,[视频]习近平同塔吉克斯坦总统会谈,习近平与塔吉克斯坦总统会谈，强调深化战略对接与共建一带一路。,新闻联播,https://tv.cctv.com/2026/05/12/VIDEiANynxKjFw4tb8iQOVBA260512.shtml
2026-05-13,"政治, 国际",[视频]习近平会见文莱王储,习近平会见文莱王储，建议加强战略、发展、文明与全球治理合作。,新闻联播,https://tv.cctv.com/2026/05/12/VIDE3nQODqXJp3yyziynbLlu260512.shtml
2026-05-13,"政治, 国际",[视频]习近平会见联合国教科文组织总干事,习近平会见联合国教科文组织总干事，愿深化人工智能、数字教育等合作。,新闻联播,https://tv.cctv.com/2026/05/12/VIDEboAm50lR1GNEdLBiNyAF260512.shtml
2026-05-13,政治,[视频]李强会见塔吉克斯坦总统,李强会见塔吉克斯坦总统，强调深化贸易投资与基础设施合作。,新闻联播,https://tv.cctv.com/2026/05/12/VIDEEegdJNQKZahzcvB3ZNEa260512.shtml
2026-05-13,"政治, 国际",[视频]李强致电祝贺毛焦尔就任匈牙利总理,李强致电祝贺毛焦尔就任匈牙利总理，愿推动中匈关系发展。,新闻联播,https://tv.cctv.com/2026/05/12/VIDEBnXl6rNWjqdksB0s4u6U260512.shtml
2026-05-13,政治,[视频]赵乐际会见塔吉克斯坦总统,赵乐际会见塔吉克斯坦总统，强调深化战略互信与立法机构交流。,新闻联播,https://tv.cctv.com/2026/05/12/VIDEATOIXZbhk7SsbMg6I9zS260512.shtml
2026-05-13,"政治, 国际",[视频]韩正同文莱王储举行会谈,国家副主席韩正同文莱王储比拉会谈，庆祝建交35周年，推动命运共同体建设。,新闻联播,https://tv.cctv.com/2026/05/12/VIDE1JpspfOCGMx1yrrgwCYn260512.shtml
2026-05-13,"政治, 国际",[视频]国际社会高度关注中美元首会晤 期待两国合作为世界注入更多稳定性,国际社会高度关注中美元首会晤，期待两国合作为世界注入更多稳定性。,新闻联播,https://tv.cctv.com/2026/05/12/VIDESQEIGjjeTrtIYvZVVIwV260512.shtml
2026-05-13,"政治, 国际",Zelensky's ex-chief of staff in court as Ukraine corruption probe escalates,乌克兰前总统办公室主任因洗钱案被列为嫌疑人。,BBC World,https://www.bbc.com/news/articles/c4g48kj40lwo?at_medium=RSS&at_campaign=rss
2026-05-13,政治,The potential challengers to Keir Starmer,英工党多人被提名为首相潜在挑战者，包括伯纳姆等。,BBC Top,https://www.bbc.com/news/articles/c3e2n7xn14xo?at_medium=RSS&at_campaign=rss
2026-05-13,政治,Read all the ministers' resignation letters in full,多名英国部长因反对斯塔默领导而辞职，含菲利普斯。,BBC Top,https://www.bbc.com/news/articles/cglpz89265jo?at_medium=RSS&at_campaign=rss
2026-05-13,政治,"All the Labour MPs who have come out against Starmer, and the ones who want him to stay",工党议员公开反对首相斯塔默的人数持续增加。,BBC Top,https://www.bbc.com/news/articles/cgepqxj30pqo?at_medium=RSS&at_campaign=rss
